date,strategy,portfolio,weight
2013-09-30,mv_plugin_sample,me2_bm2_vwret_pct,-6.851604048310869e-23
2013-09-30,mv_plugin_sample,small_hibm_vwret_pct,-7.780841725824442e-24
2013-09-30,mv_plugin_sample,small_lobm_vwret_pct,9.745981239818415e-23
2013-09-30,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-09-30,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-09-30,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-09-30,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-09-30,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-09-30,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-10-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-10-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-10-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-10-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-10-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-10-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-10-31,mv_improved_shrinkage,big_hibm_vwret_pct,2.3783313021599467e-10
2013-10-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.34456564821736724
2013-10-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.34999999983211655
2013-10-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.3012263663283032
2013-10-31,mv_improved_shrinkage,small_hibm_vwret_pct,0.0042079852158791
2013-10-31,mv_improved_shrinkage,small_lobm_vwret_pct,1.6849729410702266e-10
2013-10-31,mv_plugin_sample,big_hibm_vwret_pct,4.906676111929313e-23
2013-10-31,mv_plugin_sample,big_lobm_vwret_pct,0.9590892874478028
2013-10-31,mv_plugin_sample,me1_bm2_vwret_pct,0.040910712552197276
2013-10-31,mv_plugin_sample,me2_bm2_vwret_pct,8.192761400926774e-23
2013-10-31,mv_plugin_sample,small_hibm_vwret_pct,4.457596371885949e-23
2013-10-31,mv_plugin_sample,small_lobm_vwret_pct,-8.490264728769603e-23
2013-10-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-10-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-10-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-10-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-10-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-10-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-11-30,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-11-30,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-11-30,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-11-30,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-11-30,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-11-30,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-11-30,mv_improved_shrinkage,big_hibm_vwret_pct,4.763577836449397e-10
2013-11-30,mv_improved_shrinkage,big_lobm_vwret_pct,0.34527038618444833
2013-11-30,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3468456185900226
2013-11-30,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30367646306971724
2013-11-30,mv_improved_shrinkage,small_hibm_vwret_pct,0.004207531321069497
2013-11-30,mv_improved_shrinkage,small_lobm_vwret_pct,3.583926066734873e-10
2013-11-30,mv_plugin_sample,big_hibm_vwret_pct,8.09997770844541e-23
2013-11-30,mv_plugin_sample,big_lobm_vwret_pct,0.9960086377261467
2013-11-30,mv_plugin_sample,me1_bm2_vwret_pct,0.0039913622738533255
2013-11-30,mv_plugin_sample,me2_bm2_vwret_pct,-2.5358647266071926e-23
2013-11-30,mv_plugin_sample,small_hibm_vwret_pct,-4.6037857293357214e-24
2013-11-30,mv_plugin_sample,small_lobm_vwret_pct,-7.061252930973592e-23
2013-11-30,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-11-30,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-11-30,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-11-30,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-11-30,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-11-30,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-12-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-12-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-12-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-12-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-12-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-12-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-12-31,mv_improved_shrinkage,big_hibm_vwret_pct,4.4135556209025065e-10
2013-12-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.34999999871504733
2013-12-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.34969543138176634
